imb_id,rearing_year,host_plant,collection_date,collection_stage,hatch_date,date_instar_2,date_instar_3,date_instar_4,date_instar_5,pupation_date,stage_at_death,release_year,eclosure_date,release_date,sex
13BR006,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-05,NA,NA,NA,NA,NA
13BR007,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR008,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR009,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-08,NA,NA,NA,NA,NA
13BR010,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-07,NA,NA,NA,NA,NA
13BR011,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-03,NA,NA,NA,NA,NA
13BR012,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-04,NA,NA,NA,NA,NA
13BR013,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-08,NA,NA,NA,NA,NA
13BR014,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-02,NA,NA,NA,NA,NA
13BR015,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR016,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR017,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR018,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR019,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR020,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR021,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR022,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR023,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR024,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR025,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR026,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR027,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR028,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR029,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR030,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR031,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR032,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR033,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR034,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR035,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR036,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR037,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR038,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR039,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-05,NA,NA,NA,NA,NA
13SI026,2013,SIAL,2013-06-11,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13SI027,2013,SIAL,2013-06-11,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13SI032,2013,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13SI033,2013,SIAL,NA,NA,NA,NA,NA,NA,NA,2013-07-04,NA,NA,NA,NA,NA
13SI034,2013,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13SI035,2013,SIAL,NA,NA,NA,NA,NA,NA,NA,2013-07-09,NA,NA,NA,NA,NA
13SI036,2013,SIAL,NA,NA,NA,NA,NA,NA,NA,2013-07-11,NA,NA,NA,NA,NA
13SI037,2013,SIAL,NA,NA,NA,NA,NA,NA,NA,2013-07-09,NA,NA,NA,NA,NA
13SI038,2013,SIAL,NA,NA,NA,NA,NA,NA,NA,2013-07-06,NA,NA,NA,NA,NA
14BR025,2014,BRRA,2014-06-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
14BR026,2014,BRRA,2014-06-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
14BR031a,2014,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015-06-01,2015-06-02,NA
14BR031b,2014,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015-06-22,2015-06-22,NA
14BR032,2014,BRRA,2014-06-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
14BR033,2014,BRRA,2014-06-09,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14BR039,2014,BRRA,2014-06-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
14BR041,2014,BRRA,2014-06-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
14BR042,2014,BRRA,2014-06-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
14SI035a,2014,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015-06-04,2015-06-05,NA
14SI035b,2014,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015-06-06,2015-06-06,NA
15BR017,2015,BRRA,2015-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15BR032a,2015,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2016-05-07,2016-05-07,NA
15BR032b,2015,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2016-05-17,2016-05-17,NA
15BR033,2015,BRRA,2015-06-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15BR037,2015,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15BR038,2015,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15BR042,2015,BRRA,2015-06-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15BR055,2015,BRRA,2015-06-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15SI002,2015,SIAL,2015-04-30,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15SI004,2015,SIAL,2015-04-30,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15SI047a,2015,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2016-05-02,2016-05-02,NA
15SI047b,2015,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2016-05-11,2016-05-11,NA
16BR002,2016,BRRA,2016-05-03,egg,2016-05-09,2016-05-13,2016-05-17,2016-05-29,2016-05-28,2016-06-03,NA,2017,2017-05-16,2017-05-17,NA
16BR007,2016,BRRA,2016-05-06,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16BR053,2016,BRRA,2016-05-29,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16LE017,2016,LEVI,2016-06-07,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI016,2016,SIAL,2016-05-06,egg,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA
16SI028,2016,SIAL,2016-05-10,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI032,2016,SIAL,2016-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI034,2016,SIAL,2016-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI050,2016,SIAL,2016-05-25,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI060,2016,SIAL,2016-06-01,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI062,2016,SIAL,2016-06-07,egg,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA
16SI063,2016,SIAL,2016-06-07,egg,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA
17BR000,2017,BRRA,2017-05-22,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR008,2017,BRRA,2017-05-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR017,2017,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17BR020,2017,BRRA,2017-05-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR022,2017,BRRA,2017-05-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR054,2017,BRRA,2017-05-22,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR064,2017,BRRA,2017-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR069,2017,BRRA,2017-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR071,2017,BRRA,2017-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR072,2017,BRRA,2017-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR077,2017,BRRA,2017-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR102,2017,BRRA,2017-06-19,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR103,2017,BRRA,2017-06-24,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17LE002,2017,LEVI,2017-05-26,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17LE009,2017,LEVI,2017-06-02,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17SI004,2017,SIAL,2017-05-05,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17SI012,2017,SIAL,2017-05-10,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17SI018,2017,SIAL,2017-05-15,egg,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA
17SI037,2017,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17SI038,2017,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17SI039,2017,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17SI051,2017,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17SI076,2017,SIAL,2017-06-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18AR001,2018,ARGL,2018-06-04,egg,NA,NA,NA,NA,NA,2018-07-07,NA,2019,2019-05-19,2019-05-19,NA
18AR002,2018,ARGL,2018-06-04,egg,NA,NA,NA,NA,NA,2018-07-09,NA,2019,2019-05-20,2019-05-21,NA
18AR003,2018,ARGL,2018-05-12,egg,NA,NA,NA,NA,NA,2018-07-13,NA,2019,2019-05-23,2019-05-23,NA
18AR004,2018,ARGL,2018-06-04,egg,NA,NA,NA,NA,NA,2018-07-09,NA,2019,2019-05-17,2019-05-17,NA
18AR005,2018,ARGL,2018-06-04,egg,NA,NA,NA,NA,NA,NA,egg,egg fell off of plant,NA,NA,NA
18AR006,2018,ARGL,2018-06-04,egg,NA,NA,NA,NA,NA,2018-07-10,NA,2019,2019-05-25,2019-05-26,NA
18BR008a,2018,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2019-05-12,2019-05-12,NA
18BR008b,2018,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2019-05-14,2019-05-14,NA
18BR013,2018,BRRA,2018-05-19,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18BR026,2018,BRRA,2018-05-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18BR033,2018,BRRA,2018-05-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18BR047,2018,BRRA,2018-06-03,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18BR060,2018,BRRA,2018-06-20,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18SI006,2018,SIAL,2018-05-10,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18SI009,2018,SIAL,2018-05-10,egg,NA,NA,NA,NA,NA,NA,first,NA,NA,NA,NA
18SI019,2018,SIAL,2018-05-18,egg,2018-05-25,2018-05-24,2018-06-05,2018-06-09,2018-06-15,2018-06-24,NA,2019,2019-05-05,2019-05-05,NA
18SI042,2018,SIAL,2018-06-03,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18SI043,2018,SIAL,2018-06-03,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18SI050,2018,SIAL,2018-06-03,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18SI091,2018,SIAL,2018-06-20,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18AR05,2018,ARGL,2018-06-04,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19LE006,2019,LEVI,2019-06-06,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19LE007,2019,LEVI,2019-06-06,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19LE011,2019,LEVI,2019-06-06,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI014,2019,SIAL,2019-05-12,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI020,2019,SIAL,2019-05-12,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI030,2019,SIAL,2019-05-16,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI031,2019,SIAL,2019-05-16,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI039,2019,SIAL,2019-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI040,2019,SIAL,2019-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI060,2019,SIAL,2019-05-22,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI065,2019,SIAL,2019-05-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI066,2019,SIAL,2019-05-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI076,2019,SIAL,2019-05-28,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI082,2019,SIAL,2019-05-28,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI084,2019,SIAL,2019-05-29,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI087,2019,SIAL,2019-05-29,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI088,2019,SIAL,2019-05-29,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI100,2019,SIAL,2019-05-30,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI120,2019,SIAL,2019-06-13,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI121,2019,SIAL,2019-06-13,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI125b,2019,SIAL,2019-06-13,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI132,2019,SIAL,2019-06-19,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
19SI133,2019,SIAL,2019-06-22,egg,2019-06-19,2019-06-29,2019-07-06,2019-07-10,2019-07-14,2019-07-21,NA,2020,2020-06-03,2020-06-03,NA
19SI145,2019,SIAL,2019-06-25,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20BR047a,2020,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-05-06,2021-05-06,F
20BR047b,2020,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-05-13,2021-05-13,F
20SI004,2020,SIAL,2020-04-25,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI005,2020,SIAL,2020-04-25,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI008,2020,SIAL,2020-04-25,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI009,2020,SIAL,2020-04-25,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI010,2020,SIAL,2020-04-25,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI011,2020,SIAL,2020-05-01,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI024,2020,SIAL,2020-05-01,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI037,2020,SIAL,2020-05-08,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI059,2020,SIAL,2020-05-14,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI062,2020,SIAL,2020-05-14,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI063,2020,SIAL,2020-05-14,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI067,2020,SIAL,2020-05-14,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI068,2020,SIAL,2020-05-14,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI069,2020,SIAL,2020-05-14,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI070,2020,SIAL,2020-05-14,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI072,2020,SIAL,2020-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI077,2020,SIAL,2020-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI079,2020,SIAL,2020-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI085,2020,SIAL,2020-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI086,2020,SIAL,2020-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI095,2020,SIAL,2020-05-24,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20SI104,2020,SIAL,2020-05-24,egg,NA,NA,NA,NA,NA,NA,egg,2021,2021-04-19,2021-04-19,M
20SI114,2020,SIAL,2020-06-01,egg,2020-06-05,2020-06-11,2020-06-15,2020-06-14,2020-06-23,2020-07-02,NA,2021,2021-04-27,2021-04-27,M
20SI185,2020,SIAL,2020-06-26,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
20UNK01,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-05-13,2021-05-13,F
21BR028,2021,BRRA,2021-05-17,egg,2021-05-25,2021-05-30,2021-06-02,2021-06-06,2021-06-11,1945-11-01,NA,2022,2022-05-10,2022-05-10,M
21BR054,2021,BRRA,2021-05-22,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21BR070,2021,BRRA,2021-06-12,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21BR073,2021,BRRA,2021-06-12,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21BR082,2021,BRRA,2021-06-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21BR083,2021,BRRA,2021-06-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21LE001,2021,LEVI,2021-05-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21LE004,2021,LEVI,2021-05-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21LE015,2021,LEVI,2021-06-05,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21LE016,2021,LEVI,2021-06-05,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21LE017,2021,LEVI,2021-06-05,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21LE025,2021,LEVI,2021-06-19,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21SI010,2021,SIAL,2021-04-30,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21SI041,2021,SIAL,2021-05-12,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21SI048,2021,SIAL,2021-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21SI056,2021,SIAL,2021-05-21,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
21SI063,2021,SIAL,2021-06-04,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
22BR003,2022,BRRA,2022-05-06,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
22BR050,2022,BRRA,2022-06-02,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
22BR057,2022,BRRA,2022-06-03,egg,2022-06-09,2022-06-14,2022-06-17,2022-06-14,2022-06-25,2022-07-02,NA,2023,2023-06-04,2023-06-04,F
22BR060,2022,BRRA,2022-06-03,egg,NA,NA,NA,NA,NA,NA,egg,Not Viable,NA,NA,NA
22LE012,2022,LEVI,2022-06-19,egg,NA,NA,NA,NA,NA,NA,egg,egg desicated,NA,NA,NA
22LE018,2022,LEVI,2022-06-19,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
22SI015,2022,SIAL,2022-05-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
22SI022,2022,SIAL,2022-05-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
22SI027,2022,SIAL,2022-05-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
22SI038,2022,SIAL,2022-05-24,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
22SI040,2022,SIAL,2022-05-24,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
23BR003,2023,BRRA,2023-05-08,egg,NA,NA,NA,NA,NA,NA,egg,2024,NA,NA,NA
23BR020,2023,BRRA,2023-05-14,egg,NA,NA,NA,NA,NA,NA,egg,2024,NA,NA,NA
23BR041,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA
23BR051,2023,BRRA,2023-06-11,egg,NA,NA,NA,NA,NA,NA,egg,2024,NA,NA,NA
23LE003,2023,LEVI,2023-05-27,egg,NA,NA,NA,NA,NA,NA,egg,2024,NA,NA,NA
23LE008,2020,LEVI,2023-06-11,egg,NA,NA,NA,NA,NA,NA,egg,2024,NA,NA,NA
23LE009,2021,LEVI,2023-06-11,egg,NA,NA,NA,NA,NA,NA,egg,2024,NA,NA,NA
23LE010,2022,LEVI,2023-06-11,egg,NA,NA,NA,NA,NA,NA,first,2024,NA,NA,NA
23SI033,2023,SIAL,2023-06-02,egg,NA,NA,NA,NA,NA,NA,egg,2024,NA,NA,NA
23SI036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA
24SI002,2024,SIAL,2024-04-29,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
24SI040,2024,SIAL,2024-05-14,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
24SI044,2024,SIAL,2024-05-14,egg,2024-05-16,2024-05-23,2024-05-28,2024-05-21,2024-06-05,2024-06-14,NA,NA,NA,NA,NA
24SI051,2024,SIAL,2024-05-16,egg,2024-05-22,2024-05-28,1961-05-01,2024-06-03,2024-06-08,2024-06-18,NA,NA,NA,NA,NA
24SI058,2024,SIAL,2024-05-22,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
24SI060,2024,SIAL,2024-05-22,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
24SI071,2024,SIAL,2024-05-29,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
24SI075,2024,SIAL,2024-06-18,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
24BR001,2024,BRRA,2024-04-21,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
24BR031,2024,BRRA,2024-05-13,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
24BR050,2024,BRRA,2024-05-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
24BR054,2024,BRRA,2024-05-23,egg,2024-05-30,2024-06-04,2024-06-03,NA,NA,NA,third,NA,NA,NA,NA
